file_path,label
MI CSV\cellula_MI_data_46.csv,Left
MI CSV\cellula_MI_data_47.csv,Right
MI CSV\cellula_MI_data_48.csv,Right
MI CSV\cellula_MI_data_49.csv,Right
MI CSV\cellula_MI_data_50.csv,Right
MI CSV\cellula_MI_data_51.csv,Right
MI CSV\cellula_MI_data_52.csv,Right
MI CSV\cellula_MI_data_53.csv,Right
MI CSV\cellula_MI_data_54.csv,Left
MI CSV\cellula_MI_data_55.csv,Right
MI CSV\cellula_MI_data_56.csv,Right
MI CSV\cellula_MI_data_57.csv,Right
MI CSV\cellula_MI_data_58.csv,Left
MI CSV\cellula_MI_data_59.csv,Left
MI CSV\cellula_MI_data_60.csv,Right
MI CSV\cellula_MI_data_61.csv,Left
MI CSV\cellula_MI_data_62.csv,Left
MI CSV\cellula_MI_data_63.csv,Left
MI CSV\cellula_MI_data_64.csv,Left
MI CSV\cellula_MI_data_65.csv,Left
MI CSV\cellula_MI_data_66.csv,Right
MI CSV\cellula_MI_data_67.csv,Right
MI CSV\cellula_MI_data_68.csv,Left
MI CSV\cellula_MI_data_69.csv,Left
MI CSV\cellula_MI_data_70.csv,Left
MI CSV\cellula_MI_data_71.csv,Right
MI CSV\cellula_MI_data_72.csv,Right
MI CSV\cellula_MI_data_73.csv,Right
MI CSV\cellula_MI_data_74.csv,Right
MI CSV\cellula_MI_data_75.csv,Left
MI CSV\cellula_MI_data_76.csv,Left
MI CSV\cellula_MI_data_77.csv,Left
MI CSV\cellula_MI_data_78.csv,Right
MI CSV\cellula_MI_data_79.csv,Right
MI CSV\cellula_MI_data_80.csv,Left
MI CSV\cellula_MI_data_81.csv,Right
MI CSV\cellula_MI_data_82.csv,Left
MI CSV\cellula_MI_data_83.csv,Left
MI CSV\cellula_MI_data_84.csv,Left
MI CSV\cellula_MI_data_85.csv,Right
MI CSV\cellula_MI_data_86.csv,Right
MI CSV\cellula_MI_data_87.csv,Left
MI CSV\cellula_MI_data_88.csv,Right
MI CSV\cellula_MI_data_89.csv,Right
MI CSV\cellula_MI_data_90.csv,Right
MI CSV\cellula_MI_data_91.csv,Left
MI CSV\cellula_MI_data_92.csv,Left
MI CSV\cellula_MI_data_93.csv,Right
MI CSV\cellula_MI_data_94.csv,Right
MI CSV\cellula_MI_data_95.csv,Right
MI CSV\cellula_MI_data_96.csv,Right
MI CSV\cellula_MI_data_97.csv,Left
MI CSV\cellula_MI_data_98.csv,Left
MI CSV\cellula_MI_data_99.csv,Right
MI CSV\cellula_MI_data_100.csv,Left
MI CSV\cellula_MI_data_101.csv,Left
MI CSV\cellula_MI_data_102.csv,Right
MI CSV\cellula_MI_data_103.csv,Left
MI CSV\cellula_MI_data_104.csv,Right
MI CSV\cellula_MI_data_105.csv,Left
MI CSV\cellula_MI_data_106.csv,Left
MI CSV\cellula_MI_data_107.csv,Right
MI CSV\cellula_MI_data_108.csv,Left
MI CSV\cellula_MI_data_109.csv,Right
MI CSV\cellula_MI_data_110.csv,Right
MI CSV\cellula_MI_data_111.csv,Left
MI CSV\cellula_MI_data_112.csv,Left
MI CSV\cellula_MI_data_113.csv,Right
MI CSV\cellula_MI_data_114.csv,Left
MI CSV\cellula_MI_data_115.csv,Left
MI CSV\cellula_MI_data_116.csv,Left
MI CSV\cellula_MI_data_117.csv,Left
MI CSV\cellula_MI_data_118.csv,Right
MI CSV\cellula_MI_data_119.csv,Left
MI CSV\cellula_MI_data_120.csv,Left
MI CSV\cellula_MI_data_121.csv,Left
MI CSV\cellula_MI_data_122.csv,Right
MI CSV\cellula_MI_data_123.csv,Left
MI CSV\cellula_MI_data_124.csv,Left
MI CSV\cellula_MI_data_125.csv,Left
MI CSV\cellula_MI_data_126.csv,Left
MI CSV\cellula_MI_data_127.csv,Right
MI CSV\cellula_MI_data_128.csv,Right
MI CSV\cellula_MI_data_129.csv,Right
MI CSV\cellula_MI_data_130.csv,Left
MI CSV\cellula_MI_data_131.csv,Right
MI CSV\cellula_MI_data_132.csv,Left
MI CSV\cellula_MI_data_133.csv,Right
MI CSV\cellula_MI_data_134.csv,Left
MI CSV\cellula_MI_data_135.csv,Left
MI CSV\cellula_MI_data_136.csv,Right
MI CSV\cellula_MI_data_137.csv,Right
MI CSV\cellula_MI_data_138.csv,Right
MI CSV\cellula_MI_data_139.csv,Left
MI CSV\cellula_MI_data_140.csv,Right
MI CSV\cellula_MI_data_141.csv,Left
MI CSV\cellula_MI_data_142.csv,Right
MI CSV\cellula_MI_data_143.csv,Right
MI CSV\cellula_MI_data_144.csv,Right
MI CSV\cellula_MI_data_145.csv,Right
MI CSV\cellula_MI_data_146.csv,Left
MI CSV\cellula_MI_data_147.csv,Left
MI CSV\cellula_MI_data_148.csv,Right
MI CSV\cellula_MI_data_149.csv,Right
MI CSV\cellula_MI_data_150.csv,Right
MI CSV\cellula_MI_data_151.csv,Right
MI CSV\cellula_MI_data_152.csv,Left
MI CSV\cellula_MI_data_153.csv,Right
MI CSV\cellula_MI_data_154.csv,Right
MI CSV\cellula_MI_data_155.csv,Left
MI CSV\cellula_MI_data_156.csv,Left
MI CSV\cellula_MI_data_157.csv,Left
MI CSV\cellula_MI_data_158.csv,Left
MI CSV\cellula_MI_data_159.csv,Left
MI CSV\cellula_MI_data_160.csv,Right
MI CSV\cellula_MI_data_161.csv,Left
MI CSV\cellula_MI_data_162.csv,Left
MI CSV\cellula_MI_data_163.csv,Right
MI CSV\cellula_MI_data_164.csv,Left
MI CSV\cellula_MI_data_165.csv,Right
MI CSV\cellula_MI_data_166.csv,Left
MI CSV\cellula_MI_data_167.csv,Right
MI CSV\cellula_MI_data_168.csv,Right
MI CSV\cellula_MI_data_169.csv,Right
MI CSV\cellula_MI_data_170.csv,Left
MI CSV\cellula_MI_data_171.csv,Left
MI CSV\cellula_MI_data_172.csv,Left
MI CSV\cellula_MI_data_173.csv,Left
MI CSV\cellula_MI_data_174.csv,Right
MI CSV\cellula_MI_data_175.csv,Left
MI CSV\cellula_MI_data_176.csv,Left
MI CSV\cellula_MI_data_177.csv,Right
MI CSV\cellula_MI_data_178.csv,Right
MI CSV\cellula_MI_data_179.csv,Right
MI CSV\cellula_MI_data_180.csv,Left
MI CSV\cellula_MI_data_181.csv,Left
MI CSV\cellula_MI_data_182.csv,Left
MI CSV\cellula_MI_data_183.csv,Right
MI CSV\cellula_MI_data_184.csv,Left
MI CSV\cellula_MI_data_185.csv,Left
MI CSV\cellula_MI_data_186.csv,Right
MI CSV\cellula_MI_data_187.csv,Left
MI CSV\cellula_MI_data_188.csv,Left
MI CSV\cellula_MI_data_189.csv,Right
MI CSV\cellula_MI_data_190.csv,Right
MI CSV\cellula_MI_data_191.csv,Right
MI CSV\cellula_MI_data_192.csv,Right
MI CSV\cellula_MI_data_193.csv,Right
MI CSV\cellula_MI_data_194.csv,Left
MI CSV\cellula_MI_data_195.csv,Right
MI CSV\cellula_MI_data_196.csv,Right
MI CSV\cellula_MI_data_197.csv,Left
MI CSV\cellula_MI_data_198.csv,Left
MI CSV\cellula_MI_data_199.csv,Left
MI CSV\cellula_MI_data_200.csv,Right
MI CSV\cellula_MI_data_201.csv,Left
MI CSV\cellula_MI_data_202.csv,Right
MI CSV\cellula_MI_data_203.csv,Right
MI CSV\cellula_MI_data_204.csv,Right
MI CSV\cellula_MI_data_205.csv,Left
MI CSV\cellula_MI_data_206.csv,Left
MI CSV\cellula_MI_data_207.csv,Right
MI CSV\cellula_MI_data_208.csv,Left
MI CSV\cellula_MI_data_209.csv,Left
MI CSV\cellula_MI_data_210.csv,Left
MI CSV\cellula_MI_data_211.csv,Right
MI CSV\cellula_MI_data_212.csv,Left
MI CSV\cellula_MI_data_213.csv,Right
MI CSV\cellula_MI_data_214.csv,Left
MI CSV\cellula_MI_data_215.csv,Left
MI CSV\cellula_MI_data_216.csv,Right
MI CSV\cellula_MI_data_217.csv,Left
MI CSV\cellula_MI_data_218.csv,Left
MI CSV\cellula_MI_data_219.csv,Left
MI CSV\cellula_MI_data_220.csv,Left
MI CSV\cellula_MI_data_221.csv,Right
MI CSV\cellula_MI_data_222.csv,Right
MI CSV\cellula_MI_data_223.csv,Right
MI CSV\cellula_MI_data_224.csv,Left
MI CSV\cellula_MI_data_225.csv,Left
MI CSV\cellula_MI_data_226.csv,Right
MI CSV\cellula_MI_data_227.csv,Right
MI CSV\cellula_MI_data_228.csv,Right
MI CSV\cellula_MI_data_229.csv,Right
MI CSV\cellula_MI_data_230.csv,Right
MI CSV\cellula_MI_data_231.csv,Left
MI CSV\cellula_MI_data_232.csv,Right
MI CSV\cellula_MI_data_233.csv,Right
MI CSV\cellula_MI_data_234.csv,Left
MI CSV\cellula_MI_data_235.csv,Left
MI CSV\cellula_MI_data_236.csv,Right
MI CSV\cellula_MI_data_237.csv,Left
MI CSV\cellula_MI_data_238.csv,Right
MI CSV\cellula_MI_data_239.csv,Left
MI CSV\cellula_MI_data_240.csv,Left
MI CSV\cellula_MI_data_241.csv,Right
MI CSV\cellula_MI_data_242.csv,Right
MI CSV\cellula_MI_data_243.csv,Left
MI CSV\cellula_MI_data_244.csv,Right
MI CSV\cellula_MI_data_245.csv,Left
MI CSV\cellula_MI_data_246.csv,Left
MI CSV\cellula_MI_data_247.csv,Right
MI CSV\cellula_MI_data_248.csv,Right
MI CSV\cellula_MI_data_249.csv,Right
MI CSV\cellula_MI_data_250.csv,Right
MI CSV\cellula_MI_data_251.csv,Left
MI CSV\cellula_MI_data_252.csv,Right
MI CSV\cellula_MI_data_253.csv,Left
MI CSV\cellula_MI_data_254.csv,Right
MI CSV\cellula_MI_data_255.csv,Right
MI CSV\cellula_MI_data_256.csv,Right
MI CSV\cellula_MI_data_257.csv,Left
MI CSV\cellula_MI_data_258.csv,Left
MI CSV\cellula_MI_data_259.csv,Right
MI CSV\cellula_MI_data_260.csv,Right
MI CSV\cellula_MI_data_261.csv,Left
MI CSV\cellula_MI_data_262.csv,Left
MI CSV\cellula_MI_data_263.csv,Left
MI CSV\cellula_MI_data_264.csv,Left
MI CSV\cellula_MI_data_265.csv,Right
MI CSV\cellula_MI_data_266.csv,Left
MI CSV\cellula_MI_data_267.csv,Left
MI CSV\cellula_MI_data_268.csv,Left
MI CSV\cellula_MI_data_269.csv,Left
MI CSV\cellula_MI_data_270.csv,Right
MI CSV\cellula_MI_data_271.csv,Left
MI CSV\cellula_MI_data_272.csv,Right
MI CSV\cellula_MI_data_273.csv,Right
MI CSV\cellula_MI_data_274.csv,Right
MI CSV\cellula_MI_data_275.csv,Left
MI CSV\cellula_MI_data_276.csv,Right
MI CSV\cellula_MI_data_277.csv,Left
MI CSV\cellula_MI_data_278.csv,Left
MI CSV\cellula_MI_data_279.csv,Left
MI CSV\cellula_MI_data_280.csv,Left
MI CSV\cellula_MI_data_281.csv,Left
MI CSV\cellula_MI_data_282.csv,Right
MI CSV\cellula_MI_data_283.csv,Right
MI CSV\cellula_MI_data_284.csv,Right
MI CSV\cellula_MI_data_285.csv,Right
MI CSV\cellula_MI_data_286.csv,Right
MI CSV\cellula_MI_data_287.csv,Right
MI CSV\cellula_MI_data_288.csv,Right
MI CSV\cellula_MI_data_289.csv,Left
MI CSV\cellula_MI_data_290.csv,Left
MI CSV\cellula_MI_data_291.csv,Right
MI CSV\cellula_MI_data_292.csv,Left
MI CSV\cellula_MI_data_293.csv,Left
MI CSV\cellula_MI_data_294.csv,Right
MI CSV\cellula_MI_data_295.csv,Right
MI CSV\cellula_MI_data_296.csv,Left
MI CSV\cellula_MI_data_297.csv,Left
MI CSV\cellula_MI_data_298.csv,Left
MI CSV\cellula_MI_data_299.csv,Right
MI CSV\cellula_MI_data_300.csv,Right
MI CSV\cellula_MI_data_301.csv,Right
MI CSV\cellula_MI_data_302.csv,Right
MI CSV\cellula_MI_data_303.csv,Right
MI CSV\cellula_MI_data_304.csv,Left
MI CSV\cellula_MI_data_305.csv,Right
MI CSV\cellula_MI_data_306.csv,Left
MI CSV\cellula_MI_data_307.csv,Right
MI CSV\cellula_MI_data_308.csv,Right
MI CSV\cellula_MI_data_309.csv,Right
MI CSV\cellula_MI_data_310.csv,Left
MI CSV\cellula_MI_data_311.csv,Right
MI CSV\cellula_MI_data_312.csv,Left
MI CSV\cellula_MI_data_313.csv,Right
MI CSV\cellula_MI_data_314.csv,Left
MI CSV\cellula_MI_data_315.csv,Left
MI CSV\cellula_MI_data_316.csv,Left
MI CSV\cellula_MI_data_317.csv,Left
MI CSV\cellula_MI_data_318.csv,Left
MI CSV\cellula_MI_data_319.csv,Right
MI CSV\cellula_MI_data_320.csv,Left
MI CSV\cellula_MI_data_321.csv,Right
MI CSV\cellula_MI_data_322.csv,Left
MI CSV\cellula_MI_data_323.csv,Right
MI CSV\cellula_MI_data_324.csv,Left
MI CSV\cellula_MI_data_325.csv,Right
MI CSV\cellula_MI_data_326.csv,Right
MI CSV\cellula_MI_data_327.csv,Left
MI CSV\cellula_MI_data_328.csv,Right
MI CSV\cellula_MI_data_329.csv,Right
MI CSV\cellula_MI_data_330.csv,Left
MI CSV\cellula_MI_data_331.csv,Right
MI CSV\cellula_MI_data_332.csv,Left
MI CSV\cellula_MI_data_333.csv,Right
MI CSV\cellula_MI_data_334.csv,Left
MI CSV\cellula_MI_data_335.csv,Left
MI CSV\cellula_MI_data_336.csv,Left
MI CSV\cellula_MI_data_337.csv,Left
MI CSV\cellula_MI_data_338.csv,Left
MI CSV\cellula_MI_data_339.csv,Left
MI CSV\cellula_MI_data_340.csv,Left
MI CSV\cellula_MI_data_341.csv,Right
MI CSV\cellula_MI_data_342.csv,Left
MI CSV\cellula_MI_data_343.csv,Left
MI CSV\cellula_MI_data_344.csv,Left
MI CSV\cellula_MI_data_345.csv,Right
MI CSV\cellula_MI_data_346.csv,Right
MI CSV\cellula_MI_data_347.csv,Left
MI CSV\cellula_MI_data_348.csv,Right
MI CSV\cellula_MI_data_349.csv,Right
MI CSV\cellula_MI_data_350.csv,Left
MI CSV\cellula_MI_data_351.csv,Right
MI CSV\cellula_MI_data_352.csv,Right
MI CSV\cellula_MI_data_353.csv,Right
MI CSV\cellula_MI_data_354.csv,Right
MI CSV\cellula_MI_data_355.csv,Right
MI CSV\cellula_MI_data_356.csv,Left
MI CSV\cellula_MI_data_357.csv,Left
MI CSV\cellula_MI_data_358.csv,Right
MI CSV\cellula_MI_data_359.csv,Left
MI CSV\cellula_MI_data_360.csv,Left
MI CSV\cellula_MI_data_361.csv,Left
MI CSV\cellula_MI_data_362.csv,Left
MI CSV\cellula_MI_data_363.csv,Left
MI CSV\cellula_MI_data_364.csv,Right
MI CSV\cellula_MI_data_365.csv,Left
MI CSV\cellula_MI_data_366.csv,Left
MI CSV\cellula_MI_data_367.csv,Right
MI CSV\cellula_MI_data_368.csv,Right
MI CSV\cellula_MI_data_369.csv,Right
MI CSV\cellula_MI_data_370.csv,Right
MI CSV\cellula_MI_data_371.csv,Left
MI CSV\cellula_MI_data_372.csv,Right
MI CSV\cellula_MI_data_373.csv,Right
MI CSV\cellula_MI_data_374.csv,Left
MI CSV\cellula_MI_data_375.csv,Left
MI CSV\cellula_MI_data_376.csv,Left
MI CSV\cellula_MI_data_377.csv,Left
MI CSV\cellula_MI_data_378.csv,Left
MI CSV\cellula_MI_data_379.csv,Left
MI CSV\cellula_MI_data_380.csv,Right
MI CSV\cellula_MI_data_381.csv,Left
MI CSV\cellula_MI_data_382.csv,Left
MI CSV\cellula_MI_data_383.csv,Left
MI CSV\cellula_MI_data_384.csv,Right
MI CSV\cellula_MI_data_385.csv,Left
MI CSV\cellula_MI_data_386.csv,Left
MI CSV\cellula_MI_data_387.csv,Left
MI CSV\cellula_MI_data_388.csv,Right
MI CSV\cellula_MI_data_389.csv,Right
MI CSV\cellula_MI_data_390.csv,Right
MI CSV\cellula_MI_data_391.csv,Right
MI CSV\cellula_MI_data_392.csv,Right
MI CSV\cellula_MI_data_393.csv,Left
MI CSV\cellula_MI_data_394.csv,Left
MI CSV\cellula_MI_data_395.csv,Left
MI CSV\cellula_MI_data_396.csv,Left
MI CSV\cellula_MI_data_397.csv,Left
MI CSV\cellula_MI_data_398.csv,Right
MI CSV\cellula_MI_data_399.csv,Right
MI CSV\cellula_MI_data_400.csv,Right
MI CSV\cellula_MI_data_401.csv,Left
MI CSV\cellula_MI_data_402.csv,Right
MI CSV\cellula_MI_data_403.csv,Right
MI CSV\cellula_MI_data_404.csv,Left
MI CSV\cellula_MI_data_405.csv,Left
MI CSV\cellula_MI_data_406.csv,Left
MI CSV\cellula_MI_data_407.csv,Right
MI CSV\cellula_MI_data_408.csv,Right
MI CSV\cellula_MI_data_409.csv,Left
MI CSV\cellula_MI_data_410.csv,Left
MI CSV\cellula_MI_data_411.csv,Left
MI CSV\cellula_MI_data_412.csv,Left
MI CSV\cellula_MI_data_413.csv,Right
MI CSV\cellula_MI_data_414.csv,Left
MI CSV\cellula_MI_data_415.csv,Left
MI CSV\cellula_MI_data_416.csv,Right
MI CSV\cellula_MI_data_417.csv,Left
MI CSV\cellula_MI_data_418.csv,Left
MI CSV\cellula_MI_data_419.csv,Left
MI CSV\cellula_MI_data_420.csv,Right
MI CSV\cellula_MI_data_421.csv,Right
MI CSV\cellula_MI_data_422.csv,Left
MI CSV\cellula_MI_data_423.csv,Left
MI CSV\cellula_MI_data_424.csv,Right
MI CSV\cellula_MI_data_425.csv,Left
MI CSV\cellula_MI_data_426.csv,Right
MI CSV\cellula_MI_data_427.csv,Left
MI CSV\cellula_MI_data_428.csv,Left
MI CSV\cellula_MI_data_429.csv,Left
MI CSV\cellula_MI_data_430.csv,Right
MI CSV\cellula_MI_data_431.csv,Right
MI CSV\cellula_MI_data_432.csv,Right
MI CSV\cellula_MI_data_433.csv,Right
MI CSV\cellula_MI_data_434.csv,Right
MI CSV\cellula_MI_data_435.csv,Left
MI CSV\cellula_MI_data_436.csv,Left
MI CSV\cellula_MI_data_437.csv,Right
MI CSV\cellula_MI_data_438.csv,Left
MI CSV\cellula_MI_data_439.csv,Left
MI CSV\cellula_MI_data_440.csv,Left
MI CSV\cellula_MI_data_441.csv,Right
MI CSV\cellula_MI_data_442.csv,Left
MI CSV\cellula_MI_data_443.csv,Right
MI CSV\cellula_MI_data_444.csv,Right
MI CSV\cellula_MI_data_445.csv,Right
MI CSV\cellula_MI_data_446.csv,Left
MI CSV\cellula_MI_data_447.csv,Left
MI CSV\cellula_MI_data_448.csv,Left
MI CSV\cellula_MI_data_449.csv,Left
MI CSV\cellula_MI_data_450.csv,Right
MI CSV\cellula_MI_data_451.csv,Right
MI CSV\cellula_MI_data_452.csv,Right
MI CSV\cellula_MI_data_453.csv,Left
MI CSV\cellula_MI_data_454.csv,Right
MI CSV\cellula_MI_data_455.csv,Left
MI CSV\cellula_MI_data_456.csv,Left
MI CSV\cellula_MI_data_457.csv,Right
MI CSV\cellula_MI_data_458.csv,Right
MI CSV\cellula_MI_data_459.csv,Right
MI CSV\cellula_MI_data_460.csv,Left
MI CSV\cellula_MI_data_461.csv,Right
MI CSV\cellula_MI_data_462.csv,Right
MI CSV\cellula_MI_data_463.csv,Right
MI CSV\cellula_MI_data_464.csv,Right
MI CSV\cellula_MI_data_465.csv,Right
MI CSV\cellula_MI_data_466.csv,Right
MI CSV\cellula_MI_data_467.csv,Right
MI CSV\cellula_MI_data_468.csv,Right
MI CSV\cellula_MI_data_469.csv,Left
MI CSV\cellula_MI_data_470.csv,Left
MI CSV\cellula_MI_data_471.csv,Left
MI CSV\cellula_MI_data_472.csv,Right
MI CSV\cellula_MI_data_473.csv,Right
MI CSV\cellula_MI_data_474.csv,Right
MI CSV\cellula_MI_data_475.csv,Left
MI CSV\cellula_MI_data_476.csv,Left
MI CSV\cellula_MI_data_477.csv,Left
MI CSV\cellula_MI_data_478.csv,Right
MI CSV\cellula_MI_data_479.csv,Right
MI CSV\cellula_MI_data_480.csv,Left
MI CSV\cellula_MI_data_481.csv,Right
MI CSV\cellula_MI_data_482.csv,Left
MI CSV\cellula_MI_data_483.csv,Left
MI CSV\cellula_MI_data_484.csv,Right
MI CSV\cellula_MI_data_485.csv,Right
MI CSV\cellula_MI_data_486.csv,Left
MI CSV\cellula_MI_data_487.csv,Right
MI CSV\cellula_MI_data_488.csv,Right
MI CSV\cellula_MI_data_489.csv,Left
MI CSV\cellula_MI_data_490.csv,Left
MI CSV\cellula_MI_data_491.csv,Right
MI CSV\cellula_MI_data_492.csv,Left
MI CSV\cellula_MI_data_493.csv,Left
MI CSV\cellula_MI_data_494.csv,Left
MI CSV\cellula_MI_data_495.csv,Right
MI CSV\cellula_MI_data_496.csv,Left
MI CSV\cellula_MI_data_497.csv,Right
MI CSV\cellula_MI_data_498.csv,Left
MI CSV\cellula_MI_data_499.csv,Left
MI CSV\cellula_MI_data_500.csv,Right
MI CSV\cellula_MI_data_501.csv,Right
MI CSV\cellula_MI_data_502.csv,Left
MI CSV\cellula_MI_data_503.csv,Left
MI CSV\cellula_MI_data_504.csv,Left
MI CSV\cellula_MI_data_505.csv,Left
MI CSV\cellula_MI_data_506.csv,Left
MI CSV\cellula_MI_data_507.csv,Left
MI CSV\cellula_MI_data_508.csv,Left
MI CSV\cellula_MI_data_509.csv,Left
MI CSV\cellula_MI_data_510.csv,Left
MI CSV\cellula_MI_data_511.csv,Right
MI CSV\cellula_MI_data_512.csv,Left
MI CSV\cellula_MI_data_513.csv,Left
MI CSV\cellula_MI_data_514.csv,Right
MI CSV\cellula_MI_data_515.csv,Left
MI CSV\cellula_MI_data_516.csv,Right
MI CSV\cellula_MI_data_517.csv,Right
MI CSV\cellula_MI_data_518.csv,Right
MI CSV\cellula_MI_data_519.csv,Left
MI CSV\cellula_MI_data_520.csv,Right
MI CSV\cellula_MI_data_521.csv,Left
MI CSV\cellula_MI_data_522.csv,Left
MI CSV\cellula_MI_data_523.csv,Left
MI CSV\cellula_MI_data_524.csv,Right
MI CSV\cellula_MI_data_525.csv,Left
MI CSV\cellula_MI_data_526.csv,Left
MI CSV\cellula_MI_data_527.csv,Left
MI CSV\cellula_MI_data_528.csv,Right
MI CSV\cellula_MI_data_529.csv,Left
MI CSV\cellula_MI_data_530.csv,Left
MI CSV\cellula_MI_data_531.csv,Left
MI CSV\cellula_MI_data_532.csv,Left
MI CSV\cellula_MI_data_533.csv,Left
MI CSV\cellula_MI_data_534.csv,Left
MI CSV\cellula_MI_data_535.csv,Left
MI CSV\cellula_MI_data_536.csv,Right
MI CSV\cellula_MI_data_537.csv,Right
MI CSV\cellula_MI_data_538.csv,Right
MI CSV\cellula_MI_data_539.csv,Right
MI CSV\cellula_MI_data_540.csv,Left
MI CSV\cellula_MI_data_541.csv,Left
MI CSV\cellula_MI_data_542.csv,Left
MI CSV\cellula_MI_data_543.csv,Right
MI CSV\cellula_MI_data_544.csv,Left
MI CSV\cellula_MI_data_545.csv,Left
MI CSV\cellula_MI_data_546.csv,Left
MI CSV\cellula_MI_data_547.csv,Right
MI CSV\cellula_MI_data_548.csv,Left
MI CSV\cellula_MI_data_549.csv,Right
MI CSV\cellula_MI_data_550.csv,Right
MI CSV\cellula_MI_data_551.csv,Left
MI CSV\cellula_MI_data_552.csv,Left
MI CSV\cellula_MI_data_553.csv,Right
MI CSV\cellula_MI_data_554.csv,Left
MI CSV\cellula_MI_data_555.csv,Right
MI CSV\cellula_MI_data_556.csv,Right
MI CSV\cellula_MI_data_557.csv,Right
MI CSV\cellula_MI_data_558.csv,Left
MI CSV\cellula_MI_data_559.csv,Right
MI CSV\cellula_MI_data_560.csv,Left
MI CSV\cellula_MI_data_561.csv,Left
MI CSV\cellula_MI_data_562.csv,Left
MI CSV\cellula_MI_data_563.csv,Left
MI CSV\cellula_MI_data_564.csv,Right
MI CSV\cellula_MI_data_565.csv,Left
MI CSV\cellula_MI_data_566.csv,Right
MI CSV\cellula_MI_data_567.csv,Left
MI CSV\cellula_MI_data_568.csv,Left
MI CSV\cellula_MI_data_569.csv,Left
MI CSV\cellula_MI_data_570.csv,Right
MI CSV\cellula_MI_data_571.csv,Left
MI CSV\cellula_MI_data_572.csv,Left
MI CSV\cellula_MI_data_573.csv,Left
MI CSV\cellula_MI_data_574.csv,Right
MI CSV\cellula_MI_data_575.csv,Right
MI CSV\cellula_MI_data_576.csv,Right
MI CSV\cellula_MI_data_577.csv,Left
MI CSV\cellula_MI_data_578.csv,Left
MI CSV\cellula_MI_data_579.csv,Right
MI CSV\cellula_MI_data_580.csv,Right
MI CSV\cellula_MI_data_581.csv,Left
MI CSV\cellula_MI_data_582.csv,Right
MI CSV\cellula_MI_data_583.csv,Right
MI CSV\cellula_MI_data_584.csv,Right
MI CSV\cellula_MI_data_585.csv,Left
MI CSV\cellula_MI_data_586.csv,Right
MI CSV\cellula_MI_data_587.csv,Right
MI CSV\cellula_MI_data_588.csv,Left
MI CSV\cellula_MI_data_589.csv,Left
MI CSV\cellula_MI_data_590.csv,Right
MI CSV\cellula_MI_data_591.csv,Right
MI CSV\cellula_MI_data_592.csv,Left
MI CSV\cellula_MI_data_593.csv,Left
MI CSV\cellula_MI_data_594.csv,Left
MI CSV\cellula_MI_data_595.csv,Left
MI CSV\cellula_MI_data_596.csv,Right
MI CSV\cellula_MI_data_597.csv,Right
MI CSV\cellula_MI_data_598.csv,Left
MI CSV\cellula_MI_data_599.csv,Left
MI CSV\cellula_MI_data_600.csv,Right
MI CSV\cellula_MI_data_601.csv,Left
MI CSV\cellula_MI_data_602.csv,Left
MI CSV\cellula_MI_data_603.csv,Right
MI CSV\cellula_MI_data_604.csv,Right
MI CSV\cellula_MI_data_605.csv,Right
MI CSV\cellula_MI_data_606.csv,Left
MI CSV\cellula_MI_data_607.csv,Right
MI CSV\cellula_MI_data_608.csv,Left
